동,주택가 기준 배송 난이도,택배 물동 예측량,1인가구비율,무인택배함개수
서울특별시 동작구 신대방1동,0.245659793,0.417990128,0.39127264,0.090909091
서울특별시 동작구 신대방2동,0.251935773,0.37286848,0.511261318,0
서울특별시 동작구 흑석동,0.490667536,0.387488974,0.403482026,0
서울특별시 동작구 노량진1동,0.364251365,0.521594117,0.48520194,0.181818182
서울특별시 동작구 사당2동,0.247045399,0.470945823,0.32403657,0.090909091
서울특별시 관악구 보라매동,0.511696145,0.342430076,0.556177974,0
서울특별시 관악구 청림동,0.159181677,0.383937895,0.259521408,0
서울특별시 관악구 행운동,0.344526856,0.392686814,0.751326015,0.454545455
서울특별시 관악구 낙성대동,0.26261309,0.263707029,0.827500167,0.090909091
서울특별시 관악구 중앙동,0.278506806,0.240767556,0.801833022,0.181818182
서울특별시 관악구 인헌동,0.375743744,0.383475783,0.64511061,0.090909091
서울특별시 관악구 남현동,0.25372891,0.332599762,0.555356608,0.181818182
서울특별시 관악구 서원동,0.385198468,0.343474043,0.74923059,0.090909091
서울특별시 관악구 신원동,0.40679762,0.366608668,0.702537641,0
서울특별시 관악구 서림동,0.343956313,0.33808439,0.760056253,0.090909091
서울특별시 관악구 신사동,0.482761431,0.375043609,0.740646066,0
서울특별시 관악구 신림동,0.200097807,0.281839862,1,0.272727273
서울특별시 관악구 난향동,0.148911892,0.368915228,0.258601183,0.181818182
서울특별시 관악구 조원동,0.241421469,0.274664992,0.744310636,0.181818182
서울특별시 관악구 대학동,0.342244682,0.243924279,0.88839728,0.454545455
서울특별시 관악구 은천동,0.317711305,0.415405141,0.466850449,0
서울특별시 관악구 성현동,0.128779852,0.481593358,0.301129415,0
서울특별시 관악구 청룡동,0.419757111,0.361093132,0.831412729,0.363636364
서울특별시 관악구 난곡동,0.602331078,0.482505708,0.423279578,0.090909091
서울특별시 관악구 삼성동,0.534354878,0.32702851,0.374588068,0.090909091
서울특별시 관악구 미성동,0.39359361,0.447127632,0.38652697,0.090909091
서울특별시 서초구 서초1동,0.168799413,0.397419977,0.454592127,0.181818182
서울특별시 서초구 서초2동,0.04287228,0.468896735,0.470945453,0.090909091
서울특별시 서초구 서초3동,0.234167414,0.510933962,0.452255041,0.272727273
서울특별시 서초구 서초4동,0.015975222,0.665292437,0.142844683,0
서울특별시 서초구 잠원동,0.081995273,0.644509303,0.307754137,0.272727273
서울특별시 서초구 반포본동,0,0.225698736,0.067053804,0
서울특별시 서초구 반포1동,0.203358057,0.665197133,0.475580795,0.181818182
서울특별시 서초구 반포2동,0,0.413943986,0.025447439,0
서울특별시 서초구 반포3동,0,0.500401142,0.110214576,0
서울특별시 서초구 반포4동,0.264487733,0.505023812,0.171410219,0
서울특별시 서초구 방배본동,0.114108729,0.534251585,0.250649888,0.090909091
서울특별시 서초구 방배1동,0.173282256,0.390586513,0.392710967,0
서울특별시 서초구 방배2동,0.258700791,0.353366475,0.324075982,0.181818182
서울특별시 서초구 방배3동,0.170103513,0.413278238,0.206743806,0
서울특별시 서초구 방배4동,0.169695982,0.424680592,0.333553063,0.272727273
서울특별시 서초구 양재1동,0.343630288,0.620039922,0.327024775,0.181818182
서울특별시 서초구 양재2동,0.28771701,0.360797002,0.494152335,0.272727273
서울특별시 서초구 내곡동,0.15999674,0.568053919,0.262729106,0
서울특별시 강남구 신사동,0.100741707,0.391615442,0.374724407,0.090909091
서울특별시 강남구 논현1동,0.453011655,0.397023399,0.737123655,0.363636364
서울특별시 강남구 논현2동,0.314614068,0.365053397,0.567635296,0.181818182
서울특별시 강남구 삼성1동,0.142798924,0.339031792,0.330972076,0.272727273
서울특별시 강남구 삼성2동,0.132529138,0.53890451,0.426749941,0.090909091
서울특별시 강남구 대치1동,0.002934224,0.562925494,0,0.181818182
서울특별시 강남구 대치4동,0.14679273,0.425498944,0.573175142,0.181818182
